"filename", "language", "PHP", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "Ini", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\database\schema\mysql-schema.sql", "SQL", 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 3, 347
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\CategorySeeder.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 43
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\DatabaseSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 27
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\ProductSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 23
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\ProductSpecificationsSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 26
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\RolesSeeder.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 38
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\SubcategorySeeder.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 27
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\UserSeeder.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 25
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\validation.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 185
"c:\Users\admin\source\repos\Silerium_laravel\lang\ru\http-statuses.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 85
"c:\Users\admin\source\repos\Silerium_laravel\lang\ru\ru.json", "JSON", 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 1, 180
"c:\Users\admin\source\repos\Silerium_laravel\lang\ru\validation.php", "PHP", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 264
"c:\Users\admin\source\repos\Silerium_laravel\package-lock.json", "JSON", 0, 0, 0, 3267, 0, 0, 0, 0, 0, 0, 1, 3268
